stem,form,unique_stems
bump,bump,bump
bump,bumped,tap
bump,bumping,hold
bump,bumps,punch
tap,tap,kick
tap,tapped,attack
tap,tapping,choose
hold,hold,check
hold,held,lick
hold,holding,bite
punch,punch,teach
punch,punched,greet
punch,punching,celebrate
kick,kick,invite
kick,kicked,adopt
kick,kicking,cover
attack,attack,insert
attack,attacked,knot
attack,attacking,tie
choose,choose,drop
choose,chose,stroke
choose,choosing,pet
choose,chosen,tickle
choose,chooses,push
check,check,sell
check,checked,buy
check,checking,pull
check,checks,
lick,lick,
lick,licked,
lick,licking,
lick,licks,
bite,bite,
bite,bit,
bite,biting,
bite,bitten,
bite,bites,
teach,teach,
teach,taught,
teach,teaching,
teach,teaches,
greet,greet,
greet,greeted,
greet,greeting,
greet,greets,
celebrate,celebrate,
celebrate,celebrated,
celebrate,celebrating,
celebrate,celebrates,
invite,invite,
invite,invited,
invite,inviting,
invite,invites,
adopt,adopt,
adopt,adopted,
adopt,adopting,
adopt,adopts,
cover,cover,
cover,covered,
cover,covering,
cover,covers,
insert,insert,
insert,inserted,
insert,inserting,
insert,inserts,
knot,knot,
knot,knotted,
knot,knotting,
knot,knots,
tie,tie,
tie,tied,
tie,tying,
tie,ties,
drop,drop,
drop,dropped,
drop,dropping,
drop,drops,
stroke,stroke,
stroke,stroked,
stroke,stroking,
stroke,strokes,
pet,pet,
pet,petted,
pet,petting,
pet,pets,
tickle,tickle,
tickle,tickled,
tickle,tickling,
tickle,tickles,
push,push,
push,pushed,
push,pushing,
push,pushes,
sell,sell,
sell,sold,
sell,selling,
sell,sells,
buy,buy,
buy,bought,
buy,buying,
buy,buys,
pull,pull,
pull,pulled,
pull,pulling,
pull,pulls,
stick,stick,
stick,sticked,
stick,sticking,
stick,sticks,
stick,stuck,
glue,glue,
glue,glued,
glue,gluing,
glue,glues,
hang,hang,
hang,hanged,
hang,hangs,
hang,hanging,
hang,hung,
give,give,
give,gives,
give,gave,
give,giving,
give,given,
take,take,
take,takes,
take,taken,
take,took,
take,taking,
keep,keep,
keep,keeps,
keep,keeping,
keep,kept,
bring,bring,
bring,brings,
bring,bringing,
bring,brought,
hog,hog,
hog,hogs,
hog,hogged,
hog,hogging,
grab,grab,
grab,grabs,
grab,grabbing,
grab,grabbed,
hit,hit,
hit,hits,
hit,hitting,
slam,slam,
slam,slams,
slam,slamming,
slam,slammed,
smash,smash,
smash,smashes,
smash,smashing,
smash,smashed,
knock,knock,
knock,knocks,
knock,knocking,
knock,knocked,
jam,jam,
jam,jams,
jam,jamming,
jam,jammed,
pinch,pinch,
pinch,pinched,
pinch,pinching,
pinch,pinches,
flip,flip,
flip,flips,
flip,flipped,
flip,flipping,
turn,turn,
turn,turns,
turn,turning,
turn,turned,
spin,spin,
spin,spinned,
spin,spinning,
spin,spins,
poke,poke,
poke,poked,
poke,poking,
poke,pokes,
press,press,
press,pressed,
press,pressing,
press,presses,
put,put,
put,putting,
put,puts,
place,place,
place,placed,
place,placing,
place,places,
set,set,
set,sets,
set,setting,
lay,lay,
lay,layed,
lay,laying,
lay,lays,
wrap,wrap,
wrap,wraps,
wrap,wrapped,
wrap,wrapping,
discover,discover,
discover,discovered,
discover,discovering,
discover,discovers,
discriminate,discriminate,
discriminate,discriminated,
discriminate,discrimating,
discriminate,discriminates,